WorkClass;Occupation;Education;Sexe;Race;Age;Relationship;Marital_satus;Native_Country;Hours_per_week;Salary
 Private; Prof-specialty; Masters; Female; Asian-Pac-Islander;29; Wife; Married-civ-spouse; Hong;40; >50K
 Private; Prof-specialty; Assoc-acdm; Male; White;34; Husband; Married-civ-spouse; United-States;55; <=50K
 Local-gov; Exec-managerial; Some-college; Male; White;38; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Adm-clerical; HS-grad; Male; White;40; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Transport-moving; HS-grad; Female; White;41; Wife; Married-civ-spouse; United-States;40; <=50K
 Private; Craft-repair; HS-grad; Male; White;26; Not-in-family; Never-married; United-States;40; <=50K
 Private; Sales; HS-grad; Male; White;23; Own-child; Never-married; United-States;40; <=50K
 Private; Craft-repair; HS-grad; Male; White;38; Husband; Married-civ-spouse; United-States;48; <=50K
 Private; Craft-repair; HS-grad; Male; Asian-Pac-Islander;23; Own-child; Never-married; Philippines;40; <=50K
 Private; Other-service; HS-grad; Female; White;24; Not-in-family; Never-married; United-States;30; <=50K
 Private; Transport-moving; 10th; Male; White;42; Husband; Married-civ-spouse; United-States;50; <=50K
 Private; Adm-clerical; HS-grad; Female; White;36; Unmarried; Married-spouse-absent; United-States;40; <=50K
 Private; Craft-repair; HS-grad; Male; White;24; Own-child; Never-married; United-States;40; <=50K
 Private; Adm-clerical; Some-college; Male; Asian-Pac-Islander;24; Own-child; Never-married; United-States;20; <=50K
 Private; Protective-serv; HS-grad; Male; White;41; Own-child; Divorced; United-States;40; <=50K
 Private; Prof-specialty; HS-grad; Male; White;39; Husband; Married-civ-spouse; United-States;50; >50K
 Private; Machine-op-inspct; HS-grad; Male; White;42; Husband; Married-civ-spouse; United-States;48; >50K
 Private; Transport-moving; Some-college; Male; White;40; Husband; Married-civ-spouse; United-States;43; <=50K
 Private; Tech-support; Bachelors; Male; White;44; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Other-service; 10th; Female; White;28; Not-in-family; Divorced; United-States;40; <=50K
 Private; Prof-specialty; Masters; Female; White;90; Wife; Married-civ-spouse; United-States;40; >50K
 Private; Other-service; HS-grad; Male; White;28; Own-child; Never-married; United-States;30; <=50K
 Private; Craft-repair; HS-grad; Male; White;20; Own-child; Never-married; United-States;20; <=50K
 Private; Exec-managerial; Assoc-acdm; Female; Black;41; Not-in-family; Divorced; Jamaica;40; <=50K
 Private; Prof-specialty; Masters; Male; White;57; Husband; Married-civ-spouse; United-States;60; >50K
 Private; Craft-repair; Bachelors; Male; White;36; Own-child; Married-civ-spouse; United-States;40; >50K
 State-gov; Craft-repair; Some-college; Male; White;25; Not-in-family; Never-married; United-States;20; <=50K
 Local-gov; Exec-managerial; Doctorate; Male; White;52; Husband; Married-civ-spouse; United-States;40; >50K
 Local-gov; Transport-moving; HS-grad; Male; White;57; Husband; Married-civ-spouse; United-States;72; <=50K
 Private; Sales; Some-college; Female; White;34; Not-in-family; Divorced; United-States;40; <=50K
 Private; Transport-moving; HS-grad; Female; White;24; Not-in-family; Never-married; United-States;49; <=50K
 Self-emp-not-inc; Exec-managerial; HS-grad; Male; White;53; Husband; Married-civ-spouse; United-States;35; <=50K
 State-gov; Adm-clerical; HS-grad; Female; White;56; Not-in-family; Divorced; United-States;40; <=50K
 Private; Sales; Bachelors; Male; White;51; Not-in-family; Separated; United-States;40; <=50K
 Local-gov; Prof-specialty; Masters; Female; White;42; Unmarried; Divorced; United-States;45; <=50K
 State-gov; Exec-managerial; HS-grad; Female; White;43; Unmarried; Married-spouse-absent; United-States;40; <=50K
 Private; Sales; Bachelors; Male; White;54; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Adm-clerical; HS-grad; Male; White;51; Husband; Married-civ-spouse; United-States;40; >50K
 Local-gov; Adm-clerical; Bachelors; Female; White;62; Wife; Married-civ-spouse; United-States;38; <=50K
 Private; Adm-clerical; Some-college; Female; White;48; Not-in-family; Divorced; United-States;50; <=50K
 Private; Other-service; Masters; Male; White;45; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Sales; Some-college; Female; White;22; Own-child; Divorced; Iran;48; <=50K
 Self-emp-not-inc; Sales; Some-college; Male; White;27; Not-in-family; Never-married; United-States;50; <=50K
 Private; Handlers-cleaners; 12th; Male; White;17; Own-child; Never-married; United-States;15; <=50K
 Private; Sales; HS-grad; Male; White;69; Husband; Married-civ-spouse; United-States;24; <=50K
 State-gov; Exec-managerial; Bachelors; Male; White;25; Not-in-family; Never-married; United-States;40; <=50K
 Private; Adm-clerical; Some-college; Male; Asian-Pac-Islander;31; Husband; Married-civ-spouse; India;50; <=50K
 State-gov; Farming-fishing; 9th; Male; White;58; Husband; Married-civ-spouse; United-States;40; <=50K
 State-gov; Prof-specialty; HS-grad; Male; White;49; Husband; Married-civ-spouse; United-States;40; >50K
 State-gov; Adm-clerical; Bachelors; Female; White;37; Not-in-family; Never-married; United-States;40; >50K
 Private; Other-service; HS-grad; Male; White;52; Unmarried; Never-married; United-States;40; <=50K
 Private; Transport-moving; 10th; Male; White;39; Not-in-family; Divorced; United-States;40; <=50K
 Private; Exec-managerial; Bachelors; Female; White;32; Not-in-family; Never-married; United-States;40; <=50K
 Private; Exec-managerial; Bachelors; Male; White;35; Not-in-family; Divorced; United-States;50; >50K
 Private; Craft-repair; HS-grad; Male; White;41; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Exec-managerial; Bachelors; Female; White;25; Own-child; Never-married; United-States;20; <=50K
 Private; Exec-managerial; HS-grad; Female; Black;27; Not-in-family; Never-married; United-States;37; <=50K
 Private; Sales; Some-college; Male; White;20; Not-in-family; Never-married; United-States;30; <=50K
 Self-emp-not-inc; Craft-repair; HS-grad; Male; White;63; Husband; Married-civ-spouse; United-States;20; <=50K
 State-gov; Prof-specialty; Some-college; Male; White;33; Not-in-family; Separated; United-States;40; >50K
 Private; Machine-op-inspct; 11th; Female; Black;47; Wife; Married-civ-spouse; United-States;40; <=50K
 Private; Exec-managerial; HS-grad; Male; White;46; Husband; Married-civ-spouse; United-States;45; >50K
 Private; Prof-specialty; Bachelors; Male; White;30; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Exec-managerial; Some-college; Female; White;47; Unmarried; Married-spouse-absent; Puerto-Rico;35; <=50K
 Private; Sales; HS-grad; Female; White;62; Not-in-family; Widowed; United-States;32; <=50K
 State-gov; Protective-serv; Some-college; Male; White;48; Husband; Married-civ-spouse; United-States;40; >50K
 Self-emp-inc; Craft-repair; Masters; Male; White;33; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Other-service; HS-grad; Male; White;48; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Exec-managerial; Assoc-voc; Male; White;53; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Craft-repair; HS-grad; Male; White;34; Own-child; Never-married; United-States;40; <=50K
 Private; Craft-repair; Some-college; Male; White;55; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Adm-clerical; Some-college; Female; White;51; Not-in-family; Divorced; United-States;63; <=50K
 Self-emp-inc; Sales; 9th; Female; White;41; Wife; Married-civ-spouse; Dominican-Republic;70; <=50K
 Private; Craft-repair; HS-grad; Male; White;40; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Prof-specialty; Assoc-voc; Female; White;25; Not-in-family; Never-married; Canada;36; <=50K
 Private; Adm-clerical; HS-grad; Female; White;31; Unmarried; Divorced; United-States;35; <=50K
 Private; Exec-managerial; Masters; Male; White;38; Husband; Married-civ-spouse; United-States;60; >50K
 Federal-gov; Tech-support; Some-college; Female; White;26; Own-child; Never-married; United-States;40; <=50K
 Self-emp-not-inc; Prof-specialty; Masters; Male; White;55; Husband; Married-civ-spouse; United-States;40; >50K
 State-gov; Other-service; Some-college; Male; White;47; Husband; Married-civ-spouse; United-States;38; <=50K
 Local-gov; Protective-serv; Some-college; Male; Black;47; Not-in-family; Never-married; United-States;40; <=50K
 Local-gov; Exec-managerial; HS-grad; Female; Amer-Indian-Eskimo;43; Unmarried; Divorced; United-States;40; <=50K
 Private; Farming-fishing; Bachelors; Male; White;24; Not-in-family; Never-married; United-States;40; <=50K
 Local-gov; Exec-managerial; HS-grad; Male; White;64; Not-in-family; Widowed; United-States;40; <=50K
 Private; Adm-clerical; Some-college; Male; White;45; Husband; Married-civ-spouse; United-States;40; <=50K
 Self-emp-inc; Sales; 10th; Female; White;73; Unmarried; Widowed; Canada;40; <=50K
 Private; Other-service; 5th-6th; Male; White;32; Husband; Married-civ-spouse; Mexico;40; <=50K
 Private; Farming-fishing; HS-grad; Male; Black;29; Own-child; Never-married; United-States;30; <=50K
 Private; Transport-moving; HS-grad; Male; White;33; Husband; Married-civ-spouse; United-States;60; <=50K
 Private; Exec-managerial; Bachelors; Male; White;44; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Transport-moving; HS-grad; Male; White;47; Husband; Married-civ-spouse; Italy;48; >50K
 Private; Tech-support; Some-college; Male; White;47; Husband; Married-civ-spouse; United-States;45; <=50K
 Private; Sales; Bachelors; Male; White;59; Husband; Married-civ-spouse; United-States;72; <=50K
 Private; Sales; HS-grad; Female; White;19; Own-child; Never-married; United-States;40; <=50K
 Private; Sales; HS-grad; Male; White;40; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Machine-op-inspct; 9th; Male; Black;53; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Adm-clerical; Some-college; Female; White;19; Own-child; Never-married; United-States;30; <=50K
 Private; Farming-fishing; 11th; Male; White;59; Not-in-family; Divorced; United-States;40; <=50K
 Self-emp-not-inc; Craft-repair; HS-grad; Male; White;66; Not-in-family; Widowed; United-States;20; <=50K
 State-gov; Prof-specialty; Doctorate; Male; White;31; Husband; Married-civ-spouse; United-States;70; >50K
 Federal-gov; Exec-managerial; Bachelors; Male; White;47; Not-in-family; Married-spouse-absent; United-States;60; >50K
 Private; Machine-op-inspct; 12th; Male; White;20; Own-child; Never-married; United-States;40; <=50K
 Private; Sales; HS-grad; Male; White;24; Not-in-family; Never-married; United-States;30; <=50K
 Private; Craft-repair; HS-grad; Male; White;27; Own-child; Never-married; United-States;40; <=50K
 Private; Handlers-cleaners; Some-college; Male; White;28; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Adm-clerical; HS-grad; Male; Asian-Pac-Islander;36; Husband; Married-civ-spouse; Vietnam;40; <=50K
 Private; Adm-clerical; Assoc-voc; Female; White;39; Unmarried; Divorced; United-States;40; <=50K
 Private; Craft-repair; HS-grad; Male; White;25; Not-in-family; Never-married; United-States;75; <=50K
 Private; Craft-repair; 11th; Female; White;29; Unmarried; Divorced; United-States;52; <=50K
 Local-gov; Prof-specialty; Bachelors; Male; White;34; Husband; Married-civ-spouse; Mexico;45; >50K
 Private; Other-service; Bachelors; Male; Asian-Pac-Islander;55; Other-relative; Married-civ-spouse; Philippines;35; <=50K
 Federal-gov; Prof-specialty; Doctorate; Male; Asian-Pac-Islander;64; Husband; Married-civ-spouse; China;40; >50K
 Private; Transport-moving; HS-grad; Male; White;37; Husband; Married-civ-spouse; United-States;50; <=50K
 Private; Other-service; HS-grad; Female; Black;35; Own-child; Separated; United-States;30; <=50K
 Private; Craft-repair; 7th-8th; Male; White;61; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Other-service; HS-grad; Female; Black;61; Not-in-family; Divorced; United-States;40; <=50K
 Private; Tech-support; Masters; Female; White;43; Not-in-family; Never-married; United-States;40; <=50K
 Self-emp-not-inc; Farming-fishing; HS-grad; Male; White;58; Husband; Married-civ-spouse; United-States;72; <=50K
 Private; Farming-fishing; 7th-8th; Female; White;21; Own-child; Never-married; United-States;38; <=50K
 Local-gov; Craft-repair; Some-college; Male; Black;46; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Exec-managerial; HS-grad; Male; White;47; Husband; Married-civ-spouse; United-States;40; >50K
 Self-emp-not-inc; Prof-specialty; Prof-school; Male; White;65; Not-in-family; Divorced; United-States;40; <=50K
 Private; Adm-clerical; Assoc-voc; Male; Asian-Pac-Islander;39; Not-in-family; Separated; United-States;40; <=50K
 Local-gov; Adm-clerical; Masters; Female; White;30; Not-in-family; Never-married; United-States;40; <=50K
 Self-emp-inc; Craft-repair; HS-grad; Male; White;45; Husband; Married-civ-spouse; United-States;50; >50K
 Private; Exec-managerial; Doctorate; Male; White;52; Husband; Married-civ-spouse; United-States;38; >50K
 Private; Prof-specialty; Doctorate; Male; White;40; Husband; Married-civ-spouse; United-States;40; >50K
 Self-emp-inc; Exec-managerial; Masters; Male; White;51; Husband; Married-civ-spouse; United-States;50; >50K
 Private; Other-service; 11th; Female; White;45; Wife; Married-civ-spouse; United-States;32; <=50K
 Self-emp-not-inc; Other-service; Some-college; Female; White;38; Unmarried; Divorced; United-States;40; <=50K
 Private; Exec-managerial; HS-grad; Male; White;40; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Other-service; HS-grad; Female; White;29; Unmarried; Never-married; Mexico;40; <=50K
 Private; Other-service; HS-grad; Female; White;63; Not-in-family; Widowed; United-States;34; <=50K
 Private; Transport-moving; 11th; Male; White;34; Unmarried; Never-married; United-States;40; <=50K
 Local-gov; Prof-specialty; Masters; Female; White;50; Wife; Married-civ-spouse; United-States;40; >50K
 Private; Exec-managerial; Bachelors; Female; White;30; Not-in-family; Never-married; United-States;40; <=50K
 Private; Handlers-cleaners; Some-college; Male; Black;37; Not-in-family; Separated; United-States;35; <=50K
 Private; Machine-op-inspct; HS-grad; Male; White;23; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Adm-clerical; Some-college; Male; White;23; Own-child; Never-married; United-States;20; <=50K
 Private; Handlers-cleaners; 9th; Male; White;21; Own-child; Married-spouse-absent; United-States;40; <=50K
 Private; Exec-managerial; Bachelors; Male; White;39; Husband; Married-civ-spouse; United-States;70; >50K
 Self-emp-inc; Prof-specialty; Bachelors; Male; White;58; Husband; Married-civ-spouse; United-States;40; <=50K
 Self-emp-not-inc; Craft-repair; HS-grad; Male; White;64; Husband; Married-civ-spouse; United-States;50; <=50K
 Private; Other-service; HS-grad; Female; White;51; Not-in-family; Divorced; United-States;40; <=50K
 Private; Adm-clerical; Bachelors; Male; White;30; Husband; Married-civ-spouse; United-States;40; >50K
 Local-gov; Exec-managerial; Some-college; Male; White;49; Husband; Married-civ-spouse; United-States;46; <=50K
 Private; Tech-support; Assoc-acdm; Male; White;28; Husband; Married-civ-spouse; United-States;45; >50K
 State-gov; Craft-repair; HS-grad; Male; White;32; Husband; Married-civ-spouse; United-States;49; >50K
 Self-emp-inc; Exec-managerial; Doctorate; Female; White;48; Wife; Married-civ-spouse; United-States;40; >50K
 Local-gov; Prof-specialty; Masters; Female; White;40; Unmarried; Divorced; United-States;44; <=50K
 Private; Handlers-cleaners; HS-grad; Male; White;22; Own-child; Never-married; Portugal;50; <=50K
 Private; Sales; Some-college; Female; White;22; Not-in-family; Never-married; United-States;42; <=50K
 Private; Other-service; HS-grad; Male; White;21; Not-in-family; Never-married; United-States;35; <=50K
 Private; Handlers-cleaners; Some-college; Male; White;26; Own-child; Never-married; United-States;40; <=50K
 State-gov; Prof-specialty; Masters; Female; Asian-Pac-Islander;54; Not-in-family; Married-spouse-absent; China;40; <=50K
 Private; Other-service; 10th; Female; Black;39; Unmarried; Divorced; United-States;40; <=50K
 Private; Exec-managerial; Assoc-acdm; Female; White;28; Wife; Married-civ-spouse; United-States;40; <=50K
 Private; Other-service; HS-grad; Male; Amer-Indian-Eskimo;24; Not-in-family; Never-married; United-States;35; <=50K
 Local-gov; Craft-repair; HS-grad; Male; White;34; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Machine-op-inspct; Some-college; Male; White;30; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Prof-specialty; Assoc-voc; Female; White;23; Not-in-family; Never-married; United-States;36; <=50K
 Private; Other-service; HS-grad; Female; White;19; Own-child; Never-married; United-States;14; <=50K
 Private; Exec-managerial; Bachelors; Male; White;31; Not-in-family; Never-married; United-States;50; >50K
 Private; Craft-repair; Some-college; Male; White;24; Not-in-family; Divorced; United-States;48; <=50K
 Private; Adm-clerical; 11th; Female; White;31; Unmarried; Never-married; United-States;48; <=50K
 Private; Transport-moving; Some-college; Male; White;31; Husband; Married-civ-spouse; United-States;50; <=50K
 Private; Exec-managerial; Some-college; Female; White;35; Not-in-family; Divorced; United-States;40; >50K
 Private; Prof-specialty; Some-college; Male; White;60; Husband; Married-civ-spouse; United-States;40; >50K
 State-gov; Other-service; 11th; Male; White;19; Own-child; Never-married; United-States;30; <=50K
 Private; Exec-managerial; 10th; Male; White;55; Husband; Married-civ-spouse; United-States;45; <=50K
 Private; Exec-managerial; Bachelors; Male; White;42; Husband; Married-civ-spouse; United-States;55; >50K
 Private; Exec-managerial; Some-college; Female; White;42; Not-in-family; Widowed; United-States;55; <=50K
 Private; Transport-moving; HS-grad; Male; White;37; Husband; Married-civ-spouse; United-States;50; <=50K
 Private; Exec-managerial; Bachelors; Male; White;46; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Sales; Bachelors; Male; White;44; Husband; Married-civ-spouse; United-States;60; >50K
 Local-gov; Adm-clerical; Some-college; Female; White;29; Unmarried; Divorced; United-States;40; <=50K
 Private; Farming-fishing; HS-grad; Male; White;26; Husband; Married-civ-spouse; United-States;70; <=50K
 Local-gov; Prof-specialty; Bachelors; Male; Black;34; Other-relative; Never-married; United-States;15; <=50K
 Private; Sales; Bachelors; Male; White;41; Husband; Married-civ-spouse; United-States;55; <=50K
 Self-emp-inc; Exec-managerial; Bachelors; Male; White;34; Not-in-family; Divorced; United-States;50; <=50K
 Private; Farming-fishing; Bachelors; Male; White;22; Own-child; Never-married; United-States;40; <=50K
 Private; Craft-repair; HS-grad; Male; White;35; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Tech-support; Assoc-voc; Female; White;23; Not-in-family; Never-married; United-States;40; <=50K
 Local-gov; Prof-specialty; Bachelors; Female; White;27; Unmarried; Never-married; United-States;40; <=50K
 Private; Exec-managerial; Bachelors; Male; White;39; Husband; Married-civ-spouse; United-States;40; >50K
 Local-gov; Transport-moving; HS-grad; Female; Black;66; Not-in-family; Widowed; United-States;40; <=50K
 Private; Sales; HS-grad; Female; White;41; Not-in-family; Widowed; United-States;40; <=50K
 Self-emp-inc; Sales; HS-grad; Male; White;54; Husband; Married-civ-spouse; United-States;50; >50K
 Private; Machine-op-inspct; Bachelors; Male; White;27; Husband; Married-civ-spouse; United-States;60; >50K
 Private; Machine-op-inspct; HS-grad; Male; Black;31; Not-in-family; Never-married; United-States;40; <=50K
 Private; Adm-clerical; HS-grad; Male; White;24; Own-child; Never-married; United-States;40; <=50K
 Private; Handlers-cleaners; HS-grad; Female; White;35; Not-in-family; Never-married; United-States;40; <=50K
 Private; Machine-op-inspct; HS-grad; Male; White;42; Not-in-family; Divorced; United-States;40; <=50K
 Private; Machine-op-inspct; HS-grad; Male; White;51; Husband; Married-civ-spouse; United-States;45; >50K
 Private; Sales; Bachelors; Female; Black;54; Not-in-family; Divorced; United-States;60; <=50K
 Private; Sales; Assoc-voc; Male; White;42; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Exec-managerial; Bachelors; Female; White;26; Own-child; Never-married; United-States;40; <=50K
 Local-gov; Exec-managerial; Bachelors; Female; White;33; Not-in-family; Never-married; United-States;50; <=50K
 Private; Transport-moving; HS-grad; Male; White;34; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Prof-specialty; Bachelors; Male; White;42; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Farming-fishing; Some-college; Male; White;26; Own-child; Separated; United-States;40; <=50K
 Private; Other-service; HS-grad; Female; White;64; Not-in-family; Widowed; United-States;38; <=50K
 Private; Prof-specialty; Prof-school; Male; White;37; Husband; Married-civ-spouse; United-States;50; >50K
 Private; Adm-clerical; Some-college; Male; White;36; Husband; Married-civ-spouse; United-States;52; <=50K
 Private; Transport-moving; HS-grad; Male; White;20; Own-child; Never-married; United-States;30; <=50K
 Private; Adm-clerical; HS-grad; Female; White;53; Unmarried; Separated; United-States;38; <=50K
 Local-gov; Prof-specialty; Assoc-acdm; Male; White;44; Husband; Married-civ-spouse; United-States;48; <=50K
 Self-emp-not-inc; Sales; HS-grad; Female; Black;35; Unmarried; Never-married; Germany;38; <=50K
 Self-emp-not-inc; Sales; Bachelors; Male; White;50; Husband; Married-civ-spouse; United-States;60; <=50K
 Self-emp-not-inc; Craft-repair; HS-grad; Male; White;42; Husband; Married-civ-spouse; United-States;24; <=50K
 Private; Transport-moving; HS-grad; Male; White;40; Not-in-family; Divorced; United-States;40; <=50K
 Private; Tech-support; Assoc-voc; Female; White;34; Unmarried; Divorced; United-States;40; <=50K
 Private; Adm-clerical; HS-grad; Male; White;26; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Handlers-cleaners; HS-grad; Male; White;19; Own-child; Never-married; United-States;35; <=50K
 Private; Exec-managerial; Some-college; Female; Black;56; Not-in-family; Widowed; United-States;32; <=50K
 Private; Other-service; Some-college; Female; Black;31; Unmarried; Separated; United-States;40; <=50K
 Private; Exec-managerial; Bachelors; Male; White;42; Husband; Married-civ-spouse; United-States;45; >50K
 Private; Other-service; 11th; Female; White;28; Unmarried; Married-spouse-absent; United-States;35; <=50K
 Private; Exec-managerial; Masters; Male; White;41; Husband; Married-civ-spouse; United-States;50; >50K
 Private; Exec-managerial; Bachelors; Male; White;39; Husband; Married-civ-spouse; United-States;45; >50K
 Private; Adm-clerical; Some-college; Female; White;38; Unmarried; Divorced; United-States;30; <=50K
 Private; Other-service; HS-grad; Male; White;52; Other-relative; Divorced; United-States;30; <=50K
 Private; Transport-moving; HS-grad; Male; White;30; Husband; Married-civ-spouse; United-States;45; <=50K
 Private; Other-service; HS-grad; Female; White;43; Wife; Married-civ-spouse; United-States;35; <=50K
 Self-emp-not-inc; Prof-specialty; Bachelors; Male; White;63; Husband; Married-civ-spouse; United-States;20; <=50K
 Private; Craft-repair; HS-grad; Male; White;38; Husband; Married-civ-spouse; United-States;50; <=50K
 Private; Machine-op-inspct; Bachelors; Male; White;23; Own-child; Never-married; United-States;40; <=50K
 Private; Exec-managerial; HS-grad; Female; White;33; Wife; Married-civ-spouse; United-States;40; <=50K
 Private; Other-service; 11th; Male; Black;19; Not-in-family; Never-married; United-States;40; <=50K
 Private; Sales; HS-grad; Male; White;27; Husband; Married-civ-spouse; United-States;40; <=50K
 Federal-gov; Adm-clerical; Some-college; Male; Black;45; Husband; Married-civ-spouse; United-States;20; <=50K
 Private; Craft-repair; Some-college; Male; White;28; Husband; Married-civ-spouse; United-States;60; >50K
 Self-emp-not-inc; Farming-fishing; Some-college; Male; White;50; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Craft-repair; HS-grad; Male; White;53; Husband; Married-civ-spouse; United-States;40; >50K
 Self-emp-inc; Prof-specialty; Doctorate; Male; White;50; Not-in-family; Separated; United-States;40; >50K
 Private; Sales; Bachelors; Female; White;38; Unmarried; Divorced; United-States;40; <=50K
 State-gov; Protective-serv; Assoc-voc; Male; White;42; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Sales; Bachelors; Male; White;32; Husband; Married-civ-spouse; United-States;44; <=50K
 Private; Craft-repair; Assoc-voc; Male; White;39; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Exec-managerial; HS-grad; Male; White;35; Not-in-family; Never-married; United-States;45; <=50K
 Private; Machine-op-inspct; Masters; Male; White;41; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Craft-repair; HS-grad; Male; White;51; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Adm-clerical; HS-grad; Female; White;21; Not-in-family; Never-married; United-States;40; <=50K
 Private; Other-service; HS-grad; Female; White;44; Unmarried; Divorced; United-States;33; <=50K
 Private; Craft-repair; HS-grad; Male; White;53; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Other-service; 10th; Female; White;64; Not-in-family; Separated; United-States;35; <=50K
 Private; Protective-serv; Some-college; Male; Other;43; Husband; Married-civ-spouse; United-States;32; <=50K
 Private; Prof-specialty; Assoc-acdm; Female; White;64; Other-relative; Never-married; United-States;30; <=50K
 Local-gov; Prof-specialty; Bachelors; Female; White;43; Unmarried; Divorced; United-States;55; <=50K
 Private; Craft-repair; HS-grad; Male; White;27; Not-in-family; Divorced; United-States;50; <=50K
 Private; Adm-clerical; HS-grad; Male; White;27; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Handlers-cleaners; HS-grad; Male; White;37; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Machine-op-inspct; HS-grad; Female; Black;47; Wife; Married-civ-spouse; United-States;40; >50K
 Local-gov; Protective-serv; Some-college; Male; White;26; Not-in-family; Never-married; Peru;40; <=50K
 Self-emp-not-inc; Prof-specialty; Prof-school; Male; White;35; Husband; Married-civ-spouse; United-States;50; >50K
 Private; Transport-moving; HS-grad; Male; White;34; Own-child; Never-married; United-States;40; <=50K
 Private; Other-service; HS-grad; Male; White;31; Husband; Married-civ-spouse; Mexico;52; <=50K
 Self-emp-not-inc; Farming-fishing; 11th; Male; White;42; Husband; Married-civ-spouse; United-States;60; <=50K
 Self-emp-not-inc; Machine-op-inspct; HS-grad; Male; White;34; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Tech-support; Assoc-acdm; Male; White;27; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Adm-clerical; HS-grad; Female; White;41; Wife; Married-civ-spouse; United-States;40; >50K
 Federal-gov; Protective-serv; Bachelors; Female; White;30; Not-in-family; Never-married; United-States;60; >50K
 Private; Prof-specialty; Bachelors; Male; White;40; Husband; Married-civ-spouse; United-States;46; >50K
 Private; Prof-specialty; Some-college; Male; White;44; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Transport-moving; HS-grad; Male; White;47; Husband; Married-civ-spouse; United-States;55; >50K
 Private; Exec-managerial; Bachelors; Female; White;29; Not-in-family; Never-married; United-States;45; >50K
 Private; Tech-support; Masters; Male; White;33; Husband; Married-civ-spouse; United-States;15; <=50K
 Federal-gov; Adm-clerical; Some-college; Male; White;30; Husband; Married-civ-spouse; Cuba;48; >50K
 Private; Handlers-cleaners; Some-college; Male; White;19; Own-child; Never-married; United-States;20; <=50K
 Private; Sales; HS-grad; Male; White;30; Husband; Married-civ-spouse; United-States;45; <=50K
 Local-gov; Protective-serv; 5th-6th; Male; White;73; Husband; Married-civ-spouse; United-States;20; <=50K
 Private; Other-service; HS-grad; Male; White;39; Not-in-family; Never-married; United-States;18; <=50K
 Private; Exec-managerial; Bachelors; Male; White;53; Husband; Married-civ-spouse; United-States;50; >50K
 Private; Exec-managerial; Bachelors; Male; Black;37; Not-in-family; Never-married; United-States;60; >50K
 Private; Other-service; Masters; Female; White;25; Own-child; Separated; United-States;40; <=50K
 Private; Other-service; Preschool; Female; White;48; Unmarried; Separated; El-Salvador;40; <=50K
 Private; Craft-repair; 11th; Male; White;45; Husband; Married-civ-spouse; United-States;42; <=50K
 Private; Sales; Some-college; Female; White;39; Not-in-family; Divorced; United-States;38; <=50K
 Local-gov; Prof-specialty; Bachelors; Male; White;44; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Adm-clerical; Some-college; Male; White;23; Own-child; Never-married; United-States;30; <=50K
 Private; Craft-repair; Some-college; Male; White;33; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Prof-specialty; Masters; Female; White;59; Not-in-family; Widowed; United-States;40; <=50K
 Self-emp-inc; Craft-repair; HS-grad; Male; White;39; Husband; Married-civ-spouse; United-States;50; <=50K
 Private; Other-service; 10th; Female; White;52; Wife; Married-civ-spouse; United-States;35; <=50K
